datestamp,subject,relation,identifier,rights,language,contributor,type,type - dcmi recommendation,description,source,title,creator,date,format,format - mediatype,format - subtype,publisher,coverage,record id
,early modern age,"Amoia, M. & Martínez Martínez, J. M. (2013). Using Comparable Collections of Historical Texts for Building a Diachronic Dictionary for Spelling Normalization. In Proceedings of the ACL 2013 workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities (LaTeCH 2013), August 2013, Sofia, Bulgaria.",,CC BY SA,,,,,,"Colerus 1602. Author: Coler(us), Johannes. Title: OECONOMIA. Oder Hauszbuch. M: IOHANNIS COLERI. Erste Theil. Zum Calendario Oeconomico & perpetuo gehörig. Darinnen begriffen vnnd außführlichen erkleret ist / Wie ein Hauswirth nach dem jhn Gott der Allmechtige gesegnet / ferner seine Nahrung nechst Gott anstellen sol / auch fruchtbarlichen geniessen vnd gebrauchen: Aldieweil in solchem angezeigt wird / wie ein Hauswirth erstlich sein Gesinde wol regieren sol / hernach / von allerley sachen zur Haußhaltung gehörig / Als von Brawen / Backen / Bleichen / Wein-bergen / Gärten / Höltzung / Ackerbaw / Viehzucht / Jagten / Fisch vnd Vogelfang / Endlich von einer Haußartzney oder Haußapotecken vor den gemeinen Man. Jetzd auffs New vbersehen / corrigirt vnd verbessert in Druck gegeben. Mit Röm. Key. May. Freyheit nicht nachzudrucken. Wittemberg / In vorlegung Paul Helwigs Buchführers daselbst. Anno 1602. First edition: Kalender 1593, the three parts of the Oeconomia 1596, 1598 und 1600. Further editions: it is difficult to keep track of them. Numerous editions during S. XVI and XVII with variations regarding to title, place and editor: 1602, 1604–07, 1620, 1645–56, 1665, 1672, 1680, 1692, 1711. Comments: the edition for this corpus is the 1602 one, which contains a cookbook with 200 recipes.",,,,,,,,Switzerland,
,cooking recipe,"Schmid, H. (1994). Probabilistic Part-of-Speech Tagging Using Decision Trees. Proceedings of International Conference on New Methods in Language Processing. Manchester.",,CC BY,,,,,,"Deckhardt 1611. Author: Deckhardt, Johann. Title: New / Kunstreich vnd Nützliches Kochbuch Darinn allerley nützliche vnd seltzame Speisen vnd Trachten / nicht allein von Wildpret / Vogeln / Fischen vnd Fleisch / sondern auch gebackener / alß Mürtzepanen / Dortten / Pastetten / Kuchen vnd dergleichen / für allerley Stands personen / Auch in allerley Haußhaltungen / vnd nach gelegenheit der zeit / Gasterey vnd Pancketen / oder sonsten / wie dergleichen vffn nohtfall für krancke Leute schnell vnd balde / mit geringen vnd leichten Vnkosten zuvorfertigen / Beschrieben durch Johan[-] Deckhardt / weiland Churf: Sächß: Küchenschreiben zu Dreßden. Gedruckt / in verlegung Henning Großen des ältern / Buchhändlers zu Leipzig. Anno M. DC. XI. First edition: unknown. Further editions: unknown. Comments: the edition for this corpus is the copy at NLB Hannover.",,,,,,,,,
,cookbook,STTS tagset http://www.ims.uni-stuttgart.de/forschung/ressourcen/lexika/TagSets/stts-table.html,,,,,,,,"Stockholm 1647. Author: D[ietlev] M[ajus]. Title: D. M. Stockholmisch Koch Gespreches Vortrab / zwischen zweyen Küchinnen / von vnterscheidt / Ahrt / Natur vnd eigenschaft / zu auffenthalt Leibes vnd Lebendes / der Victualien, Vegetabilien Gewürtzen / Perselen vnd Accidentalien, hiesiger vnd Außländischer / wie dieselbige recht Ihrer Natur nach / zubereite[-] / Das geringe für dem guten zuerkennen vnd zuvnterzuscheiden. Auff guthertziger Leute Begeren zum andern mahl Gedruckt / vnd verleget Durch Peter Van Selow Stockholm Anno 1647. [auf der Rückseite des Titelblattes handschriftlich ergänzt (modern, Bleistift): „D[ietlev] M[ajus]“]. First edition: unknown. Further editions: unknown. Comments: the edition for this corpus is the copy at Herzog August Bibliothek.",,,,,,,,,
,,CLARIN-D/SfS-Uni. Tübingen. 2012. WebLicht: Web-Based Linguistic Chaining Tool. Online. Date Accessed: 18 Jun 2013. URL https://weblicht.sfs.uni-tuebingen.de,,,,,,,,"Prasmofsky 1671. Author: Prasmofsky, Stanislaus. Title: Neu=verfertigtes vollständiges Koch=Buch / Das ist : Gründliche Beschreibung / oder deutliche Anweisung / wie man allerley herrlich= und geringe Fleisch= Fisch= Geflügel= Wildbrett= gesottene= gebratene= gebachene= auch Pasteten=Speisen / sambt mancherley Zugemüsen oder Zwischen=Gerichten / köstlich / delicat, und künstlich bey Hochzeiten / Kind=Tauffen / Gastereyen / auch sonsten ins gemein für Gesunde und Krancke / auf ein-heimische und frembde Manier kochen und zubereiten kan. Mit beygefügtem Unterricht / Allerhand Confect / Latwergen / Säfft und andere eingemachte Sachen zuzurichten. Darbey auch ein vollständiges und nützliches Register zu finden / Durch Stanislaum Prasmofsky, E. H. J. gewesnen Mund=Koch. Nürnberg / Gedruckt und verlegt bey Johan[-] Philip Milten-berger / 1671. First edition: 1671. Further editions: 1685 Nürnberg: Joh. Hofmann. Comments: the edition for this corpus is the copy at Herzog August Bibliothek of the 1671.",,,,,,,,,
,,,,,,,,,,"Wecker 1679. Author: Wecker, Anna. Title: Neu / köstlich vnd nutzliches Koch=Buch / Jn welchem kurtzlich begriffen / Wie aller-hand künstliche Speisen / so wol von zahmen als wilden Thieren: Vögel vnd Federwildbrät ... [2. Teil mit neuem Titelblatt]: Parisische Küchenmeister / Das ist: Jetziger Zeit verleckerte Französische Art un[-] Manier / Allerhand Speisen bey köstlichen Pancketen und Haus-haltungen zu kochen und zuzurichten. [1679 Basel: Emanuel König und Söhne]. First edition: in this form 1667 ibid., originally 1597 Amberg: Forster. Further editions: in this form 1697 Hamburg, originally see Wecker 1598. Comments: the edition for this corpus is the copy at Herzog August Bibliothek of the 1679. Moreover, was analyzed Wecker 1598.",,,,,,,,,
,,,,,,,,,,"Thieme 1682. Author: Thieme, Johann Christoph. Title: Haus= Feld= Arzney= Koch= Kunst= und Wunder=Buch. Das ist: Ausführliche Beschreib= und Vorstellung / Wie ein kluger Hausvatter und sorgfältige Hausmutter / wes Standes und Würden sie auch immermehr seyn mögen / mit vortrefflichem Nutzen und er-sprießlichem Nahrungs=Aufnehmen / ihr Haus=Wesen führen / und / durch Gottes reichen Segen / auf ihre Nachkommen höchst=glücklich fortpflanzen mögen. Alles / um richtiger Ordnung willen / in zwanzig Abtheilungen enthalten / Darinn folgende Sachen abgehandelt werden: I. Von der Haushaltung insgemein. II. Vom Feld= und Ackerbau. III. Vom Gartenbau. IV. Vom Weinbau. V. Vom Haus= Feld= und Garten=Kalender. VI. Vom Bierbrauen. VII. Vom Kochen. IIX. Vom Trinchiren. IX. Vom Confitiren / Candiren und Zuckerbachen. X. Von den Bienen. XI. Vom Wild= und Waidwerk. XII. Von Pfleg= und Wartung der Pferde. XIII. Von der Viehzucht. XIV. Vom Vogelfang. XV. Von der Fischerey. XVI. Von be-währten Arzneyen / sowol für Manns= als Weibspersonen. XVII. Vom Distilliren. XIIX. Von heilsamen Kräutern. XIX. Von Raritäten und Wunder=Künsten. XX. Von zierlicher Brief-stellung. Wo [ein Wort unleserlich] zusamm getragen / und mit schönen hierzu dienlichen Kupfern gezieret / von Johann Christoph Thiemen. Mit Röm. Käiserl. Majestät Gnädigstem Privilegio. Nürnberg / In Verlegung Johann Hofmanns / Buch= und Kunsthändlers. Daselbst gedruckt bey Andreas Knorzen. Im Jahr Christi 1682. [Title of the cookbook:] Deß Haus= Feld= Arzney= Koch= Kunst= und Wunder= Buchs Siebender Theil / Vom Kochen. Wie man nemlich auf unterschiedliche Art und Weise allerhand Fleisch / Wildpret / Geflügel / Fisch / Eyer / und Garten=Speisen wolgeschmacklich zubereiten solle. First edition: 1682. Further editions: 1687, 1690, 1694, 1700. Comments: the edition for this corpus is the copy at the Herzog August Bibliothek of 1682.",,,,,,,,,
,,,,,,,,,,"Grätz 1686. Author: anon. Title: Ein Koch= Und Artzney=Buch. Gedruckt zu Grätz / Bey denen Widmanstetterischen Erben. 1686. First edition: 1686 (Weiss 1996:271, Nr. 1982). Further editions: 1688, 1696 (gleicher Verlag); die 3. Aufl. 1696 unter dem Titel ‚Ein sehr nutzbares Koch- und Arzneybuch‘ (Weiss 1996:271, Nr. 1982). Comments: the edition for this corpus is the version of 1789 as transcribed and published by Thomas Gloning. http://www.uni-giessen.de/gloning/tx/graz2.htm",,,,,,,,,
,,,,,,,,,,"Osnabrück 1687. Author: anon. Title: Gantz neu=vermehrter Sorgfältiger Hauß=Halter/ Begreiffend einen Nutz= und Lust= bringenden Baum= Küchen= und Blumen=Garten Welcher gestalt solcher nach bester Form gegründet / getheilet / gedünget / besäet / bepflantzet / rc. mit schönem Teutsch= und Frantzösischen Laubwerck / Blumen=Feldern / Lust=Gängen und Hütten / Pyramiden und Sonnen Uhren gezieret / auch was sonsten im Haußwesen durchs gantze Jahr Monatlich be-obachtet und nützlichst gebraucht werden könne; Sambt einem Dreyfachen (1) Dessen Abtheilung= (2) Benahmung= und (3) Medicinischen Gebrauch in sich enthaltendem Register; Deme beygefügt ein schönes nach Teutsch= und Frantzösischer Manier eingerichttes Koch= Condir- und Distillir-Buch / Nebst Noch einem zwar kleinen doch auserlesnen Artzney= Büch-lein Dessen man / sonderlich auff dem Lande / in Ermanglung eines Medici, oder anderer grosser Kosten / für sich und sein unterhabendes Vieh / als Pferde / Kühe / Schaf und Schwein / rc. allen falls heilsamlich zu bedienen; Allen vielfältig=hiernach verlangten Lieb-habern Zu sonderbarem nützlichen Vergnügen mit grossem Fleiß durch und durch verbessert / und mit vielen neuen deutlichern Figuren vermehrt herauß gegeben. Osnabrück / Druckt und verlegt von J. Wolffg. Distner / 16[?]7. First edition: unknown, but probably 1674 Osnabrück: Schwänder. Further editions: 1677, 1678 (Osnabrück: Schwänder), 1696 (Osnabrück: Krum-bein/Schorlemer). Comments: the edition for this corpus is the copy at the Herzog August Bibliothek of 1687.",,,,,,,,,
,,,,,,,,,,"Schuppe 1698. Author: Schuppe, Hans. Title: Traiteur à la mode, Welcher der delicaten und neu begierigen Welt zu sonderbaren Nutzen darleget. Ein neu woleingerichtetes oder zusammen=getragenes Koch=Buch / Worinn mit höchster Lust zu finden / Wie man / so wol Hoch=Fürstlich= als anderer vornehmer Höfe Taffeln / nach bester Manier des heutigen Etats / mit wolschmeckenden Speisen galant be-stellen und versehen könne / Als: Mit Potagen von allerhand Wildpret und zahmen Fleisch / Wild und zahmen Geflügel=Werck / Fisch und Garten=Gewächsen / wie auch Tarten / Pastäten / und ander Gebackens; imgleichen Milch=Speisen / Gallerten / Fricasséen, Ragoun, Mandeln / Eyer / Morcheln und Champignons und also biß 374 Species, welche im Register aufzuschlagen sind; Item: Von allerhand Braten / Wie dieselben ordinirt und angerichtet werden sollen / Worbey ein und zwantzig curieuse Taffeln / in guten Form= und Ordnungen / darauff die angerichtete Speisen schicklich in ein=ander zu setzen / zu finden / Auf viel-fältiges Ansuchen / jedermänniglich / absonderlich der Koch=Kunst Liebhabern / mitgetheilet von Hans Schuppen [/ der Hochfürstl [sic, ohne Punkt] Durch. zu Holstein Plöen / itziger Zeit bestalten Mund=Koch. Lübeck und Leiptzig / bey Peter Böckmann. PLOEN / Gedruckt durch Tobias Schmidt / Fürstl. Buchdr. 1698.]. First edition: 1698. Further editions: 1702 Lübeck und Leipzig: Peter Böckmann, 1709 ibid., 1729 ibid. Comments: the edition for this corpus is the copy at the Herzog August Bibliothek of 1698.",,,,,,,,,
,,,,,,,,,,"Buchinger 1700. Author: [Buchinger, Bernardin (Bernhard)]. Title: Koch=buch So wol Für Geistliche als auch Weltliche grosse und geringe Haußhaltungen / wie bey denen täglich vil Leut am füglichsten abgespeiset werden. Darinn Über die achthunderterley Fleisch / Wildprett / Geflügel / Fisch // Eyer / und Garten=Speisen / auch die Manier und Weiß selbige zubereiten / Neben anderen nutzlichen Haußhaltung= Stücklein / zu finden und begriffen sind. Durch Einen geistlichen Kuchen=Meister deß Gottshauses Lützel beschriben und practicirt. Zum dritten mal auffgelegt und vermehrt. Lautterbach. Basel / bey Johann Conrad von Mechel / Im Jahr 1700. First edition: 1671, Molsheim: Straubhaar. Further editions: 1672 Mühlhausen: Meyer; 1700 Lautterbach; 1706 Basel. Comments: the edition for this corpus is the copy at the Herzog August Bibliothek of 1700.",,,,,,,,,
,,,,,,,,,,"Keyl 1705. Author: Blancard, Stephan; translated by Georg von Keyl, called Cunaeus. Title: STEPH. BLANCARDI, Med. Doct. Höchst=nützliches und zu einem langwierigen Leben anleitendes Speise= und Tisch=Büchlein / Wie man ohne Kranckheit leben könne / Darinnen von jeder Speise und Tranck insonderheit gehandelt wird / und nach Teutschlandes Gelegen-heit mit Fleiß eingerichtet / und aus der Niederländischen in die Hochteutsche Sprache über-setzet von Georg von Keyl / genandt CUNÆUS, Med. Doct. deme noch beygefüget / Der allzeitfertige Koch / und perfecte Speisemeister / Handelt / wie und auf was Art und Weise so wohl Teutsch= Englisch= Polnisch= als Frantzösische Spei[mit Signatur überklebt] niedlich und wohl zuzurichten / [..., siehe Titelblatt Koch und Speisemeister] Franckfurth und Leipzig / [???] Gottfried Freytag / Buchhändler Hannover und Wolffenbüttel / 1705. [Mit eigenem Titelblatt nach S. 80 des Werkes von Blancard:] Der allzeit fertige Koch / und Perfecte Speise= Meister / Auf was Art und Weise / so wohl Teutsche / Englische / Polen /als Frantzosen ihre Speisen niedlich und wohl zurichten. Allen Hauß=Vätern und Müttern höchst=nöthig und diensam. First edition: 1659, 1689. Further editions: 1695 in Frankfurt and Leipzig. Comments: the edition for this corpus is the copy at the Herzog August Bibliothek of 1705.",,,,,,,,,
,,,,,,,,,,"Hohberg 1715. Author: Hohberg, Wolf Helmhard von. Title: Herrn von Hohbergs GEORGICA CURIOSA AUCTA. Oder: Adelichen Land= und Feld=Lebens Auf alle in Teutschland übliche Land= und Haus=Wirthschafften / in Zwölff Büchern wohleingericht=Neuerfundener Dritter Theil / In welchem / gantz besondere zu diesem Zweck / sehr curiose Materien / deren man sich / mit grossem Nutzen / und seiner Vergnügung bedienen kan / enthalten; auch was / bevorab in den beeden Theilen / kurtz oder gar nicht berührt / nunmehro vollständig / deutlich / und aufs accurateste elaborirt; Nebenst allerhand raren Erfindungen und Experimentis, auch mit möglichstem Fleiß ausgeführet worden. Deme zum Beschluß / Ein bewährtes / meistens aus eigener Erfahrenheit / und unter-schiedlich=practicirten Manuscriptis, wohleingericht=sehr nutzliches Koch=Buch beygefüget ist. Alles / mit hierzu behörigen vollkommenen Registern / auch dienlichen Kupffern bestens versehen. Cum Gratia & Privilegio Sacræ Cæsareæ & Catholicæ Majestatis. Nürnberg / Jn Verlegung Martin Endters. Jm Jahr Christi 1715. [Das Kochbuch hat ein eigenes Titelblatt:] Bewährtes wohleingerichtetes Koch=Buch / Welches Von einer sorgfältigen Liebhaberin dieser schönen Wissenschaft / meistens selbst practicirt / mit ohnermüdetem Fleiß zusammen getragen / und in 16. Capiteln eingetheilet worden. Ingleichen ist aus denen Kupffern / wie eine Tafel / auf unterschiedliche Arten / mit Speissen / Pyramiden / rc. zierlich und ordentlich zu rangiren / aufzutragen / auch zu changiren / klar und deutlich zu ersehen: Nicht weniger befindet sich am Ende ein voll-kommenes Register / alles Innhalts beygefügt. First edition: 1682. Further editions: 1687, 1695, 1701–05; 1749, Nürnberg. Comments: the edition for this corpus is the copy at the Herzog August Bibliothek of 1715.",,,,,,,,,
,,,,,,,,,,"Danckwerth 1729. Author: Danckwerth, Christian Heinrich. Title: Wohleingerichtetes Koch=Buch, Oder: Gründliche Anweisung. I. Die Speisen auf mancherley Art und Weise angenehm und wohlschmeckend, nicht weniger zur Gesundheit dienlich zuzurichten. II. Ferner von Conservation der in der Hauß=//haltung und Küchen vöthigen Speisen und Victualien. III. Zur Wissenschaft der Candier- und Confitier-Kunst. IV. Unterricht, Wolle und leinen Garn, Tuch und Zeuge nach allerhand Couleuren zu färben, zum Druck befördert durch Christian Heinrich Danckwerth. HANOVER Verlegts Nicolaus Förster und Sohn, 1729. First edition: probably 1729. Further editions: 1769. Comments: the edition for this corpus is the copy at the Herzog August Bibliothek of 1729.",,,,,,,,,
,,,,,,,,,,"Franckfurt 1789. Author: anon. Title: Das kleine jedermann nützliche und wohleingerichtete Franckfurter Koch=Buch, worinnen ganz leicht zu erlernen, wie allerley Speisen gut und schmackhaft zuzubereiten sind, Ehedem von einer in der Koch=Kunst erfahrnen angesehenen hiesigen Haus=Frau zum eigenen Gebrauch in Druck gegeben, Nunmehro aber wegen dessen allgemeinen Nutzen öffentlich und in etwas vermehrt auch von Fehlern gereinigt herausgegeben. Vierte Auflage. Franckfurt am Mayn, in der Jägernschen Buchhandlung, 1789. First edition: unknown. Further editions: 1804 Frankfurt. Comments: the edition for this corpus is the version of 1789 as transcribed and published by Silvia Micha, Christina Muth, Mascha Schacht and Thomas Gloning. http://www.uni-giessen.de/gloning/tx/1789ffkb.htm",,,,,,,,,
,,,,,,,,,,"Knopf 1800. Author: J.D. Knopf Title: Neues / Hannöverisches / Kochbuch. / Jn zwey Theilen. / Verbessert und vermehret / von / einem praktischen Koche. / Neueste Ausgabe. / Hannover, / bey den Gebrüdern Hahn. / 1800. First edition: unknown. Further editions: unknown. Comments: the edition for this corpus is the version of 1800 as transcribed and published by Katrin Leppert, Kristin Lückel and Thomas Gloning. http://www.uni-giessen.de/gloning/tx/1800hakb.htm",,,,,,,,,
,,,,,,,,,,rezeptewiki Title: Rezepte-Wiki Comments: the edition for this corpus is the XML dump (06/11/2012) provided at http://www.rezeptewiki.org/wiki/Rezepte-Wiki:Offline#XML-Dump,,,,,,,,,
2020-10-07T13:30:10Z,treebank,"A. Burchardt, K. Erk, A. Frank, A. Kowalski, S. Padó and M. Pinkal: The SALSA Corpus: a German Corpus Resource for Lexical Semantics. Proceedings of LREC 2006, Genoa, Italy. http://www.dfki.de/lt/publication_show.php?id=3611",hdl:11858/00-246C-0000-0005-BD13-1,"Copyrighted, Agreement needed",deu,Manfred Pinkal,collection,collection,"The SALSA corpus is based on the TIGER corpus. The TIGER corpus (Version 2.1) consists of app. 900,000 tokens (50,000 sentences) of German newspaper text, taken from the Frankfurter Rundschau. The corpus was semi-automatically POS-tagged and annotated with syntactic structure. Moreover, it contains morphological and lemma information for terminal nodes. (cf. TIGER corpus website) SALSA provides an additional annotation layer to the TIGER corpus: FrameNet semantic roles.",TIGER,SALSA - The SAarbrücken Lexical Semantics Annotation and Analysis Project,"Manfred Pinkal
Universität des Saarlandes
Fachrichtung 4.7 Allgemeine Linguistik
Postfach 15 11 50
66041 Saarbrücken, Germany",2006-01-01T00:00:00Z,text/xml,text,xml,,Germany,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:salsa
,newspaper,List of publications of the SALSA project: http://www.coli.uni-saarland.de/projects/salsa/page.php?id=publications,clarind-uds:salsa,SALSA license agreement,,Hagen Fürstenau,,,"Das SALSA-Korpus basiert auf dem Tiger-Korpus. Letzteres besteht aus ca. 900.000 Token (50.000 Sätzen) deutschen Zeitungstextes aus der Frankfurter Rundschau. Das Korpus wurde semi-automatisch syntaktisch annotiert und enthält außerdem POS, Lemma und morphologische Information. (s.a. TIGER-Korpus-Webseite) SALSA fügt der TIGER-Annotation eine weitere Annotationsebene mit semantischen Rollen (FrameNet) hinzu.",http://www.ims.uni-stuttgart.de/projekte/TIGER/,,,,,,,,,
,written corpus,Text-SALSA XML format: http://www.nlpado.de/~sebastian/pub/papers/lrec04_erk.pdf,,"non-commercial, non-derivative, author attribution",,Ines Rehbein,,,,FrameNet,,,,,,,,,
,frame semantics,Framenet: https://framenet.icsi.berkeley.edu/fndrupal/,,,,Josef Ruppenhofer,,,,https://framenet.icsi.berkeley.edu/fndrupal/,,,,,,,,,
,,FrameNet Transformer: http://www.coli.uni-saarland.de/projects/salsa/fnt/,,,,Caroline Sporleder,,,,,,,,,,,,,
,,WordNet Detour to FrameNet: http://www.coli.uni-saarland.de/~albu/cgi-bin/FN-Detour-short.html,,,,Gemma Boleda,,,,,,,,,,,,,
,,Shalmaneser: A Shallow Semantic Parser: http://www.coli.uni-saarland.de/projects/salsa/shal/,,,,Aljoscha Burchardt,,,,,,,,,,,,,
,,,,,,Katrin Erk,,,,,,,,,,,,,
,,,,,,Anette Frank,,,,,,,,,,,,,
,,,,,,Andrea Kowalski,,,,,,,,,,,,,
,,,,,,Sebastian Padó,,,,,,,,,,,,,
,,,,,,Marco Pennacchiotti,,,,,,,,,,,,,
,,,,,,Jiri Semecky,,,,,,,,,,,,,
,,,,,,Dennis Spohr,,,,,,,,,,,,,
2020-10-07T13:30:10Z,annotation tool,SALSA,clarind-uds:salto,www.coli.uni-saarland.de/projects/salsa/salto/doc/license.html,deu,SALSA Project Saarbrücken,software,software,Salto is a graphical tool for manual annotation of text corpora. It supports the annotation of a second (typically semantic) layer of annotation to an existing syntactic annotation. Originally it was used in the SALSA project for the annotation of semantic roles and semantic classes (FrameNet).The main features are: selecting data sets for annotation (query-based); tag set definition; distribution of corpora to annotators; inter-annotator agreement; and quality control.,,SALTO - SALSA Tool,"Manfred Pinkal
Universität des Saarlandes
Fachrichtung 4.7 Allgemeine Linguistik
Postfach 15 11 50
66041 Saarbrücken, Germany",2007-01-01T00:00:00Z,,,,,,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:salto
,annotation management,clarind-uds:salsa,hdl:11858/00-246C-0000-0005-BD14-0,,,,,,"SALTO is ein graphisches Werkzeug für die manuelle Annotation von Textkorpora. Es unterstützt die Annotation einer zweiten Annotationsebene (z.B. einer semantischen) auf einer existierenden syntaktischen Annotationsebene. Im SALSA Projekt entwickelt, wurde es dazu benutzt semantische Rollen und Klassen (FrameNet) zu annotieren. Die Hauptfeatures sind: die Auswahl eines Datensatzes für die Annotation (Anfrage gestützt); Definition von Annotationsschemata; Verteilung von Korpora auf Annotatoren; Übereinstimmung zwischen den Annotatoren; Qualitätskontrolle.",,,,,,,,,,
,semantic roles,Documentation of SALTO http://www.coli.uni-saarland.de/projects/salsa/salto/doc/html/,,,,,,,,,,,,,,,,,
,semantic classes,"A. Burchardt, K. Erk, A. Frank, A. Kowalski and S. Padó. SALTO – A Versatile Multi-Level Annotation Tool. Proceedings of LREC 2006, Genoa, Italy. http://www.coli.uni-saarland.de/projects/salsa/papers/lrec06-tool.pdf",,,,,,,,,,,,,,,,,
,tag set definition,SALSA/TIGER XML: http://www.nlpado.de/~sebastian/pub/papers/lrec04_erk.pdf,,,,,,,,,,,,,,,,,
2021-09-21T17:24:54Z,modern greece,"Alexianna Tsotsou, Das Image Deutschlands in der griechischen Presse im Zeitraum 2001–2013 Eine diskurslinguistische korpusorientierte Analyse, PhD thesis, Verlag Dr. Kovač, Hamburg, 2019",clarind-uds:image-of-germany,Copyrighted,ell,,,,"The corpus consists of newspaper articles from three Greek newspapers (Ta Nea, Risospastis, and Ta Vima) dealing with Germany from the Greek perspective. The corpus contains around 3.5 million tokens in 7650 texts. A lemmatized version of the corpus is available.",,The image of Germany in the Greek press,Alexianna Tsotsou,2019-01-01T00:00:00Z,text/plain,text,plain,Universität Hamburg,Greece,oai:fedora.clarin-d.uni-saarland.de:clarind-uds:image-of-germany
,written corpus,,hdl:21.11119/0000-0007-E18C-D,non-commercial academic use,,,,,,,,,,,,,,2001–2013,
,collection,,,,,,,,,,,,,,,,,,
,newspaper corpus,,,,,,,,,,,,,,,,,,
,germany,,,,,,,,,,,,,,,,,,
2022-02-02T16:17:42Z,,,clarind-uds:epic-uds,,,,,,,,epic-uds,,,,,,,,"""""""oai:fedora.clarin-d.uni-saarland.de:clarind-uds:epic-uds"""""""
2022-02-02T16:15:39Z,translation,"Lapshinova-Koltunski, Ekaterina, Maja Popović and Maarit Koponen. 2022. DiHuTra: a Parallel Corpus to Analyse Differences between Human Translations. Submitted for LREC-2022.",clarind-uds:dihutra,CC NC SA,eng,Ekaterina Lapshinova-Koltunski,dataset,dataset,"The corpus Dihutra (Differences in Human Translations) has been collected within activities supported by EAMT (EAMT sponsorship 2021). It reprsents a corpus of human translations which contains both professional and students translations. The data consists of English sources-texts from news (from WMT2020 and 2019) and Amazon reviews-and their translations into Russian and Croatian, as well as of the subcorpus containing translations of Amazon review texts into Finnish. All target languages represent mid-resourced and less or mid-investigated ones. The same source texts were translated into the three target languages by two translator groups: students and professionals. We additionally include German professional translations of news, that were available in the WMT dataset. For the Amazon reviews subcorpus, each review in English was translated into the three target languages, Croatian, Russian and Finnish, by professionals and by students. For the news subcorpus, Russian translations were already available from the WMT shared task and Croatian translations were produced for the purpose of this work. Finnish professional translations were not provided for the news articles. In addition to translations, the information about age, gender, experience and the study program (for students) was collected. Translators were asked too keep the sentence alignment (not to merge or to split sentences so that each English sentence corresponds to one translated sentence, which is important for current MT systems) and not to use machine translation in the process of translation. No further restrictions were given to translators. The corpus is valuable for studying variation in translation as it allows a direct comparison between human translations of the same source texts. The corpus is also be a valuable resource for evaluating machine translation systems. We believe that this resource will facilitate understanding and improvement of the quality issues in both human and machine translation.",English news originals,DiHuTra (Differences in human translation),"Ekaterina Lapshinova-Koltunski, UNiversität des Saarlandes",2022-01-01T00:00:00Z,text/xml,text,xml,Universität des Saarlandes,Germany,"""""""oai:fedora.clarin-d.uni-saarland.de:clarind-uds:dihutra"""""""
,human translation,,hdl:21.11119/0000-000A-1BA9-A,CC BY NC SA,rus,Maja Popović,,,,Russian translations of news from English by professionals,,"Maja Popović, Dublin City University",,,,,,,
,parallel corpus,,,,hrv,Maarit Koponen,,,,Russian translations of news from English by students,,"Maarit Koponen, University of Eastern Finland",,,,,,,
,multilingual corpus,,,,fin,,,,,Croatian translations of news from English by professionals,,,,,,,,,
,multilinguality,,,,deu,,,,,Croatian translations of news from English by students,,,,,,,,,
,russian,,,,,,,,,German translations of news from English by professionals,,,,,,,,,
,croatian,,,,,,,,,Russian translations of Amazon reviews from English by professionals,,,,,,,,,
,finnish,,,,,,,,,Russian translations of Amazon reviews from English by students,,,,,,,,,
,translation variation,,,,,,,,,Croatian translations of Amazon reviews from English by professionals,,,,,,,,,
,news translation,,,,,,,,,Croatian translations of Amazon reviews from English by students,,,,,,,,,
,review variation,,,,,,,,,Finnish translations of Amazon reviews from English by professionals,,,,,,,,,
,machine translation,,,,,,,,,Finnish translations of Amazon reviews from English by students,,,,,,,,,
,computational linguistics,,,,,,,,,,,,,,,,,,
2022-02-02T15:53:18Z,scripts,"Ostermann, Simon ; Roth, Michael ; Pinkal, Manfred (2018): MCScript2.0: A Machine Comprehension Corpus Focused on Script Events and Participants. In Proceedings of the Eighth Joint Conference on Lexical and Computational Semantics (*SEM), Minneapolis, USA, 2019. doi:10.18653/v1/S19-1012 https://aclanthology.org/S19-1012",clarind-uds:mcscript-20,CC BY NC SA,eng,Simon Ostermann,collection,collection,"MCScript 2.0 is a machine comprehension corpus for the end-to-end evaluation of script knowledge. It contains approx. 20,000 questions on approx. 3,500 texts, crowdsourced based on a new collection process that results in challenging questions. Half of the questions cannot be answered from the reading texts, but require the use of commonsense and, in particular, script knowledge. The task is not challenging to humans, but existing machine comprehension models fail to perform well on the data, even if they make use of a commonsense knowledge base.",,MCScript2.0: A Machine Comprehension Corpus Focused on Script Events and Participants,"Simon Ostermann, Fachrichtung Sprachwissenschaft und Sprachtechnologie, Universität des Saarlandes, Campus C7.4, 66123 Saarbrücken",2018-01-01T00:00:00Z,text/xml,text,xml,,,"""""""oai:fedora.clarin-d.uni-saarland.de:clarind-uds:mcscript-20"""""""
,script knowledge,"McScript: A Novel Dataset for Assessing Machine Comprehension Using Script Knowledge, hdl:21.11119/0000-0001-D3A7-4",hdl:21.11119/0000-000A-3606-3,,,Michael Roth,dataset,dataset,,,,,,,,,,,
,narrative texts,,,,,Stefan Thater,text,text,,,,,,,,,,,
,commonsense knowledge,,,,,,,,,,,,,,,,,,
,crowdsourcing,,,,,,,,,,,,,,,,,,
